,cvm_code,data_origin,data,year,value,ticker
0,2453,balanco,assets,2009.0,30293650000.0,CMIG
0,2453,balanco,assets,2010.0,33555834000.0,CMIG
0,2453,balanco,assets,2011.0,37008883000.0,CMIG
0,2453,balanco,assets,2012.0,32569881000.0,CMIG
0,2453,balanco,assets,2013.0,29814142000.0,CMIG
0,2453,balanco,assets,2014.0,35000003000.0,CMIG
0,2453,balanco,assets,2015.0,40857089000.0,CMIG
0,2453,balanco,assets,2016.0,42035853000.0,CMIG
0,2453,balanco,assets,2017.0,42239589000.0,CMIG
0,2453,balanco,assets,2018.0,59854673000.0,CMIG
0,2453,balanco,assets,2019.0,50525724000.0,CMIG
0,2453,balanco,assets,2020.0,54083080000.0,CMIG
0,2453,balanco,assets,2021.0,52045808000.0,CMIG
0,2453,balanco,assets,2022.0,53670837000.0,CMIG
0,2453,balanco,assets,2023.0,56165430000.0,CMIG
0,2453,balanco,current_assets,2009.0,8616974000.0,CMIG
0,2453,balanco,current_assets,2010.0,8085576000.0,CMIG
0,2453,balanco,current_assets,2011.0,8531649000.0,CMIG
0,2453,balanco,current_assets,2012.0,8803752000.0,CMIG
0,2453,balanco,current_assets,2013.0,6668783000.0,CMIG
0,2453,balanco,current_assets,2014.0,6554378000.0,CMIG
0,2453,balanco,current_assets,2015.0,9376738000.0,CMIG
0,2453,balanco,current_assets,2016.0,8285470000.0,CMIG
0,2453,balanco,current_assets,2017.0,8537303000.0,CMIG
0,2453,balanco,current_assets,2018.0,27796074000.0,CMIG
0,2453,balanco,current_assets,2019.0,10352726000.0,CMIG
0,2453,balanco,current_assets,2020.0,15456200000.0,CMIG
0,2453,balanco,current_assets,2021.0,12949150000.0,CMIG
0,2453,balanco,current_assets,2022.0,13465203000.0,CMIG
0,2453,balanco,current_assets,2023.0,13919356000.0,CMIG
0,2453,balanco,liabilities,2009.0,30293650000.0,CMIG
0,2453,balanco,liabilities,2010.0,33555834000.0,CMIG
0,2453,balanco,liabilities,2011.0,37008883000.0,CMIG
0,2453,balanco,liabilities,2012.0,32569881000.0,CMIG
0,2453,balanco,liabilities,2013.0,29814142000.0,CMIG
0,2453,balanco,liabilities,2014.0,35000003000.0,CMIG
0,2453,balanco,liabilities,2015.0,40857089000.0,CMIG
0,2453,balanco,liabilities,2016.0,42035853000.0,CMIG
0,2453,balanco,liabilities,2017.0,42239589000.0,CMIG
0,2453,balanco,liabilities,2018.0,59854673000.0,CMIG
0,2453,balanco,liabilities,2019.0,50525724000.0,CMIG
0,2453,balanco,liabilities,2020.0,54083080000.0,CMIG
0,2453,balanco,liabilities,2021.0,52045808000.0,CMIG
0,2453,balanco,liabilities,2022.0,53670837000.0,CMIG
0,2453,balanco,liabilities,2023.0,56165430000.0,CMIG
0,2453,balanco,current_liabilities,2009.0,10279597000.0,CMIG
0,2453,balanco,current_liabilities,2010.0,6403358000.0,CMIG
0,2453,balanco,current_liabilities,2011.0,12169346000.0,CMIG
0,2453,balanco,current_liabilities,2012.0,12798306000.0,CMIG
